velocity_y,altitude,angle,downrange_distance,velocity,acceleration,q,time,velocity_x
-0.11,0.0,90.0,0.0,0.277,10.402,0.04699648011605415,0,0.0
1.76,0.001,90.0,0.0,1.499,10.896,1.376997013179443,1,0.0
3.63,0.003,90.0,0.0,2.382,11.466,3.475454322710763,2,0.0
5.747,0.007,90.0,0.0,5.005,12.104,15.33649644629474,3,0.0
8.353,0.013,90.0,0.0,8.061,12.618,39.74530725956342,4,0.0
11.32,0.023,90.0,0.0,11.114,12.926,75.48910705503529,5,0.0
14.535,0.035,90.0,0.0,14.355,13.072,125.7879395849895,6,0.0
17.853,0.051,90.0,0.0,17.781,13.17,192.7002697773484,7,0.0
21.248,0.071,90.0,0.0,21.256,13.243,274.8498879798709,8,0.0
24.715,0.094,90.0,0.0,24.633,13.29,368.3174465041014,9,0.0
28.233,0.12,90.0,0.0,28.063,13.341,476.8288148510193,10,0.0
31.802,0.15,90.0,0.0,31.763,13.407,609.0953560742647,11,0.0
35.425,0.184,90.0,0.0,35.422,13.478,755.0571225583221,12,0.0
39.12,0.221,90.0,0.0,38.985,13.539,911.3215817989264,13,0.0
42.891,0.262,90.0,0.0,42.785,13.597,1093.314336819034,14,0.0
46.74,0.307,90.0,0.0,46.533,13.665,1287.680685445577,15,0.0
50.678,0.355,90.0,0.0,50.561,13.743,1513.092221278052,16,0.0
54.69,0.408,90.0,0.0,54.725,13.829,1763.586400260032,17,0.0
58.773,0.464,90.0,0.0,58.619,13.915,2012.44959887413,18,0.0
62.903,0.525,90.0,0.0,62.92,14.005,2304.944218307005,19,0.0
67.107,0.59,90.0,0.0,66.948,14.081,2593.076894181111,20,0.0
71.36,0.659,90.0,0.0,71.254,14.128,2917.634035205568,21,0.0
75.687,0.733,90.0,0.0,75.563,14.171,3257.84038805571,22,0.0
80.069,0.81,90.0,0.0,80.143,14.228,3636.896921193259,23,0.0
84.547,0.893,90.0,0.0,84.355,14.33,3996.950335809869,24,0.0
89.099,0.979,90.0,0.0,88.892,14.432,4400.924863049565,25,0.0
93.75,1.071,90.0,0.0,93.615,14.53,4837.428295795045,26,0.0
98.506,1.167,90.0,0.0,98.428,14.612,5297.224759149479,27,0.0
103.374,1.267,90.0,0.0,103.198,14.695,5765.510598314245,28,0.0
108.35,1.373,90.0,0.0,108.198,14.787,6271.788364793105,29,0.0
113.427,1.484,90.0,0.0,113.337,14.88,6806.498181530425,30,0.0
118.607,1.6,90.0,0.0,118.341,14.978,7335.82522042415,31,0.0
123.857,1.721,90.0,0.0,123.892,15.07,7943.587840666678,32,0.0
129.191,1.847,90.0,0.0,129.17,15.161,8526.221461255845,33,0.0
134.607,1.979,90.0,0.0,134.452,15.267,9116.457307539935,34,-0.037
140.127,2.116,90.0,0.0,139.865,15.39,9729.996025124388,35,-0.167
145.757,2.259,90.0,-0.001,145.563,15.514,10388.15999540681,36,-0.656
151.526,2.408,90.0,-0.001,151.396,15.622,11069.57003322052,37,-1.117
157.414,2.562,90.0,-0.003,157.23,15.714,11753.21821033775,38,-1.185
163.395,2.722,89.74,-0.003,163.341,15.805,12478.71596344885,39,-0.402
169.441,2.889,89.341,-0.003,169.448,15.881,13202.14867041226,40,1.1
175.575,3.061,88.941,-0.001,175.42,15.942,13900.28494607573,41,3.299
181.807,3.239,88.542,0.004,181.67,16.003,14635.84977846484,42,6.219
187.712,3.424,87.89,0.012,187.785,16.093,15340.75335479454,43,9.84
193.476,3.615,87.498,0.024,194.587,16.213,16147.03519485089,44,14.125
199.654,3.813,87.014,0.041,201.115,16.331,16894.6895542453,45,19.177
206.311,4.014,86.196,0.063,207.508,16.399,17609.90462681117,46,24.939
212.648,4.228,85.052,0.091,214.73,16.384,18434.11791070921,47,31.112
219.038,4.447,83.868,0.125,221.948,16.285,19240.86328689979,48,37.166
225.043,4.672,82.534,0.165,228.619,16.028,19928.63845295438,49,42.616
230.17,4.904,81.542,0.21,234.867,15.586,20515.46574843311,50,47.154
233.832,5.141,80.798,0.259,240.004,14.992,20878.17106726875,51,51.064
237.069,5.375,80.079,0.311,244.448,14.469,21115.49277470403,52,54.352
240.407,5.619,79.363,0.367,248.619,14.139,21265.06113102296,53,57.114
244.976,5.85,78.768,0.425,252.688,13.983,21413.82985345999,54,59.206
249.634,6.096,77.752,0.485,256.811,13.906,21524.1434891907,55,60.948
254.344,6.359,76.753,0.547,261.255,13.871,21629.03206264259,56,62.599
258.843,6.626,76.074,0.611,265.628,13.889,21698.59246567628,57,64.307
262.98,6.884,75.714,0.676,269.867,13.923,21750.98567300082,58,66.326
265.975,7.15,75.34,0.744,274.311,13.954,21801.48424657411,59,68.935
268.998,7.415,75.081,0.814,278.756,14.008,21840.41750147835,60,72.175
272.447,7.688,74.697,0.888,283.337,14.098,21860.53168699086,61,75.876
276.585,7.969,74.176,0.966,288.2,14.214,21888.43783745182,62,79.83
280.803,8.241,73.586,1.048,293.2,14.308,21943.11701964361,63,83.91
285.03,8.532,72.947,1.134,298.063,14.387,21909.03816600885,64,87.964
289.1,8.823,72.457,1.224,303.2,14.453,21896.79857827615,65,91.729
293.374,9.114,72.133,1.317,308.337,14.512,21865.73575796049,66,95.096
297.696,9.409,71.941,1.414,313.615,14.591,21823.75692999577,67,98.109
302.066,9.712,71.725,1.513,318.892,14.688,21743.36520302943,68,101.019
306.728,10.019,71.503,1.616,324.448,14.812,21670.4857013818,69,104.085
312.077,10.331,71.169,1.722,330.281,14.918,21601.99615232514,70,107.476
317.494,10.65,70.785,1.831,335.98,15.02,21472.86189057565,71,111.176
322.649,10.961,70.359,1.944,341.674,15.153,21349.11858814674,72,115.118
327.728,11.305,70.086,2.061,348.059,15.317,21198.59764680656,73,119.35
332.332,11.64,69.818,2.183,354.174,15.469,21016.43958926146,74,123.958
336.326,11.983,69.592,2.309,360.563,15.544,20825.19118236595,75,128.922
340.462,12.316,69.262,2.441,366.948,15.555,20641.79657667352,76,134.167
345.759,12.663,68.845,2.578,373.341,15.558,20396.94060623575,77,139.629
351.179,12.979,68.174,2.72,379.73,15.612,20220.58091670403,78,145.174
356.295,13.362,67.477,2.868,386.674,15.737,19896.94465565504,79,150.648
361.396,13.75,66.802,3.021,394.174,15.91,19596.00151959415,80,155.962
367.582,14.127,66.314,3.18,401.258,16.089,19264.36710577695,81,161.226
372.714,14.463,65.883,3.344,407.924,16.242,18983.57386560756,82,166.687
377.533,14.837,65.454,3.514,415.285,16.329,18647.03283649969,83,172.605
382.991,15.226,64.817,3.69,422.785,16.364,18264.76659249369,84,179.201
388.734,15.613,64.127,3.872,430.424,16.388,17881.89144969612,85,186.442
393.407,16.009,63.347,4.063,438.337,16.484,17481.84841802288,86,194.28
398.01,16.394,62.599,4.261,445.841,16.672,17063.11521931968,87,202.65
402.685,16.806,61.917,4.468,454.452,16.9,16640.65421024368,88,211.385
406.985,17.225,61.482,4.684,463.063,17.167,16185.75884511208,89,220.123
411.243,17.637,61.097,4.908,471.396,17.611,15714.87259254096,90,228.773
416.09,18.038,60.67,5.142,480.841,18.382,15331.49400538823,91,237.449
424.481,18.45,60.121,5.383,491.952,19.479,15003.95302263577,92,246.446
434.207,18.888,59.527,5.635,504.183,20.601,14655.41032207188,93,255.9
445.49,19.321,58.918,5.896,517.785,21.528,14369.72273728337,94,265.991
456.753,19.803,58.337,6.167,531.952,22.124,13961.1030535076,95,276.933
467.017,20.266,57.801,6.45,545.85,22.506,13553.15731689988,96,288.689
473.899,20.75,57.353,6.745,560.85,22.77,13122.80254138257,97,301.078
481.86,21.217,56.96,7.052,575.563,22.948,12692.7492744241,98,313.903
489.826,21.701,56.559,7.373,590.285,23.125,12202.14569774484,99,327.01
498.21,22.201,56.084,7.706,605.294,23.268,11666.89703951561,100,340.131
507.364,22.717,55.595,8.053,620.85,23.466,11100.56870946541,101,353.045
519.515,23.235,55.098,8.412,636.683,23.664,10529.99043032282,102,365.635
532.66,23.751,54.622,8.784,652.239,23.895,9945.421084279737,103,377.979
544.605,24.29,54.174,9.168,668.636,24.16,9334.18141373327,104,390.309
556.04,24.87,53.759,9.565,685.58,24.422,8660.358660939797,105,403.079
567.253,25.451,53.343,9.975,702.785,24.713,8000.276008252925,106,416.774
577.535,25.998,52.888,10.399,719.183,24.97,7391.267254583327,107,431.684
585.309,26.592,52.381,10.839,736.961,25.195,6746.513950449003,108,447.939
594.01,27.191,51.811,11.295,754.461,25.354,6108.509798877039,109,465.447
602.946,27.791,51.228,11.77,772.508,25.448,5503.062974105363,110,483.83
611.264,28.402,50.635,12.263,790.572,25.598,4911.362557469191,111,502.695
617.304,29.051,50.048,12.776,809.73,25.811,4315.988816557297,112,521.681
625.425,29.635,49.469,13.307,827.517,26.116,3818.589655877917,113,540.567
634.437,30.271,48.955,13.856,846.405,26.365,3308.988493619374,114,558.997
643.906,30.927,48.483,14.424,865.85,26.558,2826.106330085954,115,576.944
654.529,31.57,48.061,15.01,885.017,26.694,2394.939925039423,116,594.407
666.102,32.25,47.641,15.613,904.739,26.863,1982.835427497585,117,611.732
676.911,32.924,47.243,16.234,925.017,27.092,1623.053444825493,118,629.106
689.818,33.599,46.815,16.872,944.747,27.473,1306.034225071079,119,647.052
701.893,34.302,46.376,17.528,965.58,27.912,1022.682846510534,120,665.783
713.048,35.02,45.903,18.204,987.247,28.349,779.3108304139984,121,685.595
723.764,35.778,45.431,18.9,1009.478,28.629,567.6652599572453,122,706.528
732.456,36.525,44.95,19.617,1031.421,28.816,401.5999158639634,123,728.545
736.845,37.251,44.476,20.357,1053.628,28.972,276.6924971098657,124,751.38
744.543,37.951,43.99,21.12,1075.017,29.161,184.9031614126929,125,774.77
752.298,38.716,43.493,21.907,1097.794,29.409,111.9773172669673,126,798.323
759.808,39.477,42.992,22.717,1120.85,29.657,62.78795600129506,127,821.807
768.151,40.251,42.511,23.551,1144.191,29.934,31.2490070702718,128,845.157
779.104,41.026,42.031,24.407,1167.802,30.213,13.27865733587527,129,868.602
791.015,41.801,41.559,25.288,1191.969,30.616,4.43363952036873,130,892.358
802.667,42.601,41.104,26.192,1216.43,31.05,0.9161607573799474,131,916.661
813.808,43.424,40.671,27.122,1241.978,31.514,0.06101382671313133,132,941.657
824.186,44.28,40.244,28.076,1267.811,31.826,2.902145123095436e-07,133,967.326
831.981,45.119,39.841,29.056,1294.756,32.079,0.0,134,993.489
835.646,45.951,39.485,30.063,1320.311,32.306,0.0,135,1019.955
843.246,46.785,39.144,31.096,1346.405,32.602,0.0,136,1046.604
852.729,47.581,38.799,32.156,1372.794,32.99,0.0,137,1073.169
863.355,48.451,38.433,33.243,1400.025,33.407,0.0,138,1099.493
875.468,49.386,38.074,34.355,1428.089,33.912,0.0,139,1125.683
893.366,50.219,37.714,35.494,1456.413,34.446,0.0,140,1151.999
908.169,51.118,37.378,36.66,1486.413,35.016,0.0,141,1178.857
921.335,52.083,37.063,37.852,1515.58,35.466,0.0,142,1206.603
933.202,53.051,36.776,39.073,1545.58,35.734,0.0,143,1235.473
943.735,53.951,36.5,40.324,1575.58,35.942,0.0,144,1265.352
948.848,54.92,36.206,41.604,1605.858,36.179,0.0,145,1296.015
954.152,55.851,35.872,42.916,1636.978,36.504,0.0,146,1327.277
962.964,56.817,35.511,44.259,1668.097,36.731,0.0,147,1358.943
973.096,57.785,35.133,45.634,1700.319,36.892,0.0,148,1390.974
984.88,58.751,34.74,47.041,1731.986,36.988,0.0,149,1423.331
996.993,59.785,34.332,48.481,1763.375,37.114,0.0,150,1456.099
1008.374,60.781,33.953,49.954,1794.764,37.209,0.0,151,1489.062
1015.872,61.818,33.609,51.459,1826.708,37.244,0.0,152,1522.094
1021.969,62.818,33.293,52.998,1858.653,37.224,0.0,153,1555.063
1026.083,63.867,32.997,54.569,1891.435,37.149,0.0,154,1587.805
1029.39,64.885,32.718,56.173,1923.358,37.051,0.0,155,1620.139
1035.446,65.92,32.454,57.809,1954.191,36.925,0.0,156,1652.381
1045.296,66.951,32.18,59.478,1985.025,36.829,0.0,157,1685.054
